x,y
0.1,1.9
0.2,2.4
0.3,2.7
0.6,3.8
1.4,6.7
2.7,10.0
5.1,14.5
9.1,20.6
16.4,30.3
28.1,40.3
48.4,52.9
99.8,72.6
